threshold,condition,trigger_count,trigger_rate,ambig_biased_base,ambig_corrected,ambig_correction_rate,disambig_correct_base,disambig_harmed,disambig_harm_rate,net_benefit
115,redirect,1808,0.49130434782608695,248,204,0.8225806451612904,1773,431,0.2430908065425832,-227
116,redirect,1793,0.4872282608695652,248,204,0.8225806451612904,1773,425,0.23970671178793007,-221
117,redirect,1768,0.48043478260869565,248,204,0.8225806451612904,1773,421,0.23745064861816131,-217
118,redirect,1745,0.4741847826086957,248,203,0.8185483870967742,1773,418,0.23575860124083475,-215
119,redirect,1713,0.4654891304347826,248,202,0.8145161290322581,1773,416,0.23463056965595036,-214
120,redirect,1686,0.45815217391304347,248,200,0.8064516129032258,1773,410,0.23124647490129724,-210
121,redirect,1661,0.4513586956521739,248,198,0.7983870967741935,1773,407,0.22955442752397068,-209
122,redirect,1642,0.44619565217391305,248,198,0.7983870967741935,1773,399,0.22504230118443316,-201
123,redirect,1612,0.4380434782608696,248,196,0.7903225806451613,1773,385,0.21714608009024253,-189
124,redirect,1593,0.4328804347826087,248,195,0.7862903225806451,1773,381,0.21489001692047377,-186
125,redirect,1570,0.4266304347826087,248,195,0.7862903225806451,1773,376,0.21206993795826284,-181
126,redirect,1544,0.41956521739130437,248,195,0.7862903225806451,1773,365,0.20586576424139877,-170
127,redirect,1518,0.4125,248,192,0.7741935483870968,1773,354,0.1996615905245347,-162
128,redirect,1506,0.4092391304347826,248,192,0.7741935483870968,1773,351,0.19796954314720813,-159
129,redirect,1494,0.40597826086956523,248,191,0.7701612903225806,1773,348,0.19627749576988154,-157
130,redirect,1486,0.40380434782608693,248,191,0.7701612903225806,1773,347,0.19571347997743938,-156
131,redirect,1469,0.39918478260869567,248,189,0.7620967741935484,1773,346,0.19514946418499718,-157
132,redirect,1438,0.3907608695652174,248,189,0.7620967741935484,1773,342,0.19289340101522842,-153
133,redirect,1413,0.3839673913043478,248,186,0.75,1773,327,0.1844331641285956,-141
134,redirect,1397,0.3796195652173913,248,185,0.7459677419354839,1773,325,0.18330513254371122,-140
135,redirect,1379,0.37472826086956523,248,184,0.7419354838709677,1773,322,0.18161308516638466,-138
136,redirect,1365,0.37092391304347827,248,184,0.7419354838709677,1773,320,0.18048505358150027,-136
137,redirect,1350,0.36684782608695654,248,184,0.7419354838709677,1773,317,0.1787930062041737,-133
138,redirect,1327,0.3605978260869565,248,182,0.7338709677419355,1773,314,0.17710095882684715,-132
139,redirect,1309,0.3557065217391304,248,180,0.7258064516129032,1773,311,0.1754089114495206,-131
140,redirect,1293,0.3513586956521739,248,179,0.7217741935483871,1773,307,0.17315284827975183,-128
141,redirect,1280,0.34782608695652173,248,178,0.717741935483871,1773,303,0.17089678510998307,-125
142,redirect,1259,0.3421195652173913,248,178,0.717741935483871,1773,293,0.1652566271855612,-115
143,redirect,1239,0.33668478260869567,248,177,0.7137096774193549,1773,283,0.15961646926113932,-106
144,redirect,1222,0.33206521739130435,248,175,0.7056451612903226,1773,282,0.15905245346869712,-107
145,redirect,1217,0.33070652173913045,248,175,0.7056451612903226,1773,282,0.15905245346869712,-107
146,redirect,1206,0.32771739130434785,248,173,0.6975806451612904,1773,280,0.15792442188381275,-107
147,redirect,1199,0.32581521739130437,248,173,0.6975806451612904,1773,276,0.155668358714044,-103
148,redirect,1182,0.32119565217391305,248,171,0.6895161290322581,1773,268,0.15115623237450648,-97
149,redirect,1171,0.31820652173913044,248,170,0.6854838709677419,1773,265,0.14946418499717992,-95
150,redirect,1159,0.31494565217391307,248,170,0.6854838709677419,1773,264,0.14890016920473773,-94
151,redirect,1144,0.3108695652173913,248,169,0.6814516129032258,1773,256,0.14438804286520024,-87
152,redirect,1131,0.30733695652173915,248,169,0.6814516129032258,1773,255,0.14382402707275804,-86
153,redirect,1108,0.3010869565217391,248,169,0.6814516129032258,1773,246,0.13874788494077833,-77
154,redirect,1094,0.29728260869565215,248,167,0.6733870967741935,1773,244,0.13761985335589397,-77
155,redirect,1082,0.2940217391304348,248,165,0.6653225806451613,1773,240,0.1353637901861252,-75
156,redirect,1062,0.28858695652173916,248,165,0.6653225806451613,1773,230,0.12972363226170333,-65
157,redirect,1041,0.2828804347826087,248,162,0.6532258064516129,1773,225,0.12690355329949238,-63
158,redirect,1024,0.2782608695652174,248,162,0.6532258064516129,1773,221,0.12464749012972363,-59
159,redirect,1006,0.2733695652173913,248,161,0.6491935483870968,1773,215,0.1212633953750705,-54
160,redirect,994,0.27010869565217394,248,159,0.6411290322580645,1773,213,0.12013536379018612,-54
161,redirect,979,0.26603260869565215,248,157,0.6330645161290323,1773,208,0.11731528482797518,-51
162,redirect,970,0.26358695652173914,248,157,0.6330645161290323,1773,205,0.11562323745064862,-48
163,redirect,952,0.25869565217391305,248,157,0.6330645161290323,1773,201,0.11336717428087986,-44
164,redirect,937,0.2546195652173913,248,156,0.6290322580645161,1773,200,0.11280315848843768,-44
165,redirect,924,0.2510869565217391,248,156,0.6290322580645161,1773,198,0.1116751269035533,-42
166,redirect,913,0.24809782608695652,248,156,0.6290322580645161,1773,195,0.10998307952622674,-39
167,redirect,904,0.24565217391304348,248,155,0.625,1773,193,0.10885504794134236,-38
168,redirect,894,0.24293478260869567,248,154,0.6209677419354839,1773,190,0.10716300056401579,-36
169,redirect,880,0.2391304347826087,248,154,0.6209677419354839,1773,182,0.10265087422447829,-28
170,redirect,870,0.23641304347826086,248,153,0.6169354838709677,1773,178,0.10039481105470953,-25
171,redirect,857,0.2328804347826087,248,152,0.6129032258064516,1773,176,0.09926677946982515,-24
172,redirect,840,0.22826086956521738,248,149,0.6008064516129032,1773,170,0.09588268471517203,-21
173,redirect,829,0.22527173913043477,248,148,0.5967741935483871,1773,167,0.09419063733784545,-19
174,redirect,819,0.22255434782608696,248,148,0.5967741935483871,1773,167,0.09419063733784545,-19
175,redirect,811,0.2203804347826087,248,148,0.5967741935483871,1773,162,0.09137055837563451,-14
176,redirect,803,0.21820652173913044,248,148,0.5967741935483871,1773,162,0.09137055837563451,-14
177,redirect,780,0.21195652173913043,248,147,0.592741935483871,1773,157,0.08855047941342357,-10
178,redirect,767,0.20842391304347826,248,145,0.5846774193548387,1773,155,0.0874224478285392,-10
179,redirect,758,0.20597826086956522,248,142,0.5725806451612904,1773,152,0.08573040045121263,-10
180,redirect,750,0.20380434782608695,248,140,0.5645161290322581,1773,149,0.08403835307388607,-9
181,redirect,736,0.2,248,138,0.5564516129032258,1773,147,0.0829103214890017,-9
182,redirect,722,0.19619565217391305,248,136,0.5483870967741935,1773,144,0.08121827411167512,-8
183,redirect,705,0.19157608695652173,248,134,0.5403225806451613,1773,143,0.08065425831923294,-9
184,redirect,696,0.1891304347826087,248,132,0.532258064516129,1773,143,0.08065425831923294,-11
185,redirect,684,0.1858695652173913,248,131,0.5282258064516129,1773,140,0.07896221094190638,-9
186,redirect,672,0.1826086956521739,248,130,0.5241935483870968,1773,138,0.077834179357022,-8
187,redirect,662,0.17989130434782608,248,129,0.5201612903225806,1773,137,0.0772701635645798,-8
188,redirect,647,0.17581521739130435,248,127,0.5120967741935484,1773,130,0.07332205301748448,-3
189,redirect,638,0.1733695652173913,248,127,0.5120967741935484,1773,130,0.07332205301748448,-3
190,redirect,626,0.1701086956521739,248,126,0.5080645161290323,1773,126,0.07106598984771574,0
191,redirect,621,0.16875,248,126,0.5080645161290323,1773,125,0.07050197405527354,1
192,redirect,610,0.16576086956521738,248,125,0.5040322580645161,1773,124,0.06993795826283136,1
193,redirect,605,0.1644021739130435,248,125,0.5040322580645161,1773,123,0.06937394247038917,2
194,redirect,597,0.1622282608695652,248,122,0.49193548387096775,1773,123,0.06937394247038917,-1
195,redirect,586,0.1592391304347826,248,120,0.4838709677419355,1773,121,0.06824591088550479,-1
196,redirect,574,0.1559782608695652,248,117,0.4717741935483871,1773,115,0.06486181613085167,2
197,redirect,560,0.15217391304347827,248,114,0.4596774193548387,1773,113,0.06373378454596729,1
198,redirect,548,0.14891304347826087,248,113,0.45564516129032256,1773,111,0.06260575296108291,2
199,redirect,536,0.14565217391304347,248,112,0.45161290322580644,1773,107,0.06034968979131416,5
200,redirect,531,0.14429347826086958,248,112,0.45161290322580644,1773,105,0.05922165820642978,7
201,redirect,511,0.1388586956521739,248,109,0.43951612903225806,1773,102,0.05752961082910321,7
202,redirect,500,0.1358695652173913,248,106,0.4274193548387097,1773,102,0.05752961082910321,4
203,redirect,491,0.13342391304347825,248,105,0.42338709677419356,1773,101,0.05696559503666103,4
204,redirect,480,0.13043478260869565,248,104,0.41935483870967744,1773,99,0.05583756345177665,5
205,redirect,471,0.1279891304347826,248,104,0.41935483870967744,1773,96,0.05414551607445008,8
206,redirect,457,0.12418478260869566,248,102,0.4112903225806452,1773,94,0.05301748448956571,8
207,redirect,450,0.12228260869565218,248,101,0.40725806451612906,1773,93,0.05245346869712352,8
208,redirect,442,0.12010869565217391,248,99,0.39919354838709675,1773,91,0.05132543711223914,8
209,redirect,429,0.11657608695652173,248,97,0.3911290322580645,1773,88,0.049633389734912575,9
210,redirect,421,0.11440217391304348,248,97,0.3911290322580645,1773,88,0.049633389734912575,9
211,redirect,412,0.11195652173913044,248,97,0.3911290322580645,1773,86,0.048505358150028204,11
212,redirect,399,0.10842391304347826,248,97,0.3911290322580645,1773,84,0.047377326565143825,13
213,redirect,393,0.10679347826086956,248,95,0.38306451612903225,1773,84,0.047377326565143825,11
214,redirect,387,0.10516304347826087,248,94,0.3790322580645161,1773,82,0.046249294980259446,12
215,redirect,376,0.10217391304347827,248,93,0.375,1773,80,0.04512126339537507,13
216,redirect,371,0.10081521739130435,248,91,0.36693548387096775,1773,79,0.044557247602932885,12
217,redirect,361,0.09809782608695652,248,91,0.36693548387096775,1773,76,0.04286520022560632,15
218,redirect,348,0.09456521739130434,248,90,0.3629032258064516,1773,75,0.04230118443316413,15
219,redirect,344,0.09347826086956522,248,89,0.3588709677419355,1773,75,0.04230118443316413,14
220,redirect,339,0.0921195652173913,248,87,0.35080645161290325,1773,73,0.04117315284827975,14
221,redirect,336,0.09130434782608696,248,87,0.35080645161290325,1773,73,0.04117315284827975,14
222,redirect,324,0.08804347826086957,248,84,0.3387096774193548,1773,72,0.04060913705583756,12
223,redirect,316,0.08586956521739131,248,83,0.3346774193548387,1773,70,0.03948110547095319,13
224,redirect,307,0.08342391304347826,248,81,0.32661290322580644,1773,70,0.03948110547095319,11
225,redirect,304,0.08260869565217391,248,80,0.3225806451612903,1773,69,0.038917089678511,11
226,redirect,296,0.08043478260869565,248,78,0.31451612903225806,1773,68,0.03835307388606881,10
227,redirect,292,0.07934782608695652,248,78,0.31451612903225806,1773,68,0.03835307388606881,10
228,redirect,287,0.0779891304347826,248,78,0.31451612903225806,1773,67,0.03778905809362662,11
229,redirect,282,0.0766304347826087,248,76,0.3064516129032258,1773,67,0.03778905809362662,9
230,redirect,273,0.07418478260869565,248,72,0.2903225806451613,1773,66,0.03722504230118443,6
231,redirect,265,0.07201086956521739,248,68,0.27419354838709675,1773,65,0.03666102650874224,3
232,redirect,257,0.06983695652173913,248,67,0.2701612903225806,1773,64,0.03609701071630006,3
233,redirect,247,0.0671195652173913,248,66,0.2661290322580645,1773,63,0.03553299492385787,3
234,redirect,242,0.06576086956521739,248,66,0.2661290322580645,1773,62,0.03496897913141568,4
235,redirect,235,0.06385869565217392,248,64,0.25806451612903225,1773,62,0.03496897913141568,2
236,redirect,229,0.06222826086956522,248,63,0.2540322580645161,1773,62,0.03496897913141568,1
237,redirect,223,0.06059782608695652,248,60,0.24193548387096775,1773,62,0.03496897913141568,-2
238,redirect,219,0.059510869565217395,248,58,0.23387096774193547,1773,62,0.03496897913141568,-4
239,redirect,211,0.05733695652173913,248,58,0.23387096774193547,1773,61,0.03440496333897349,-3
240,redirect,207,0.05625,248,57,0.22983870967741934,1773,60,0.0338409475465313,-3
241,redirect,204,0.05543478260869565,248,57,0.22983870967741934,1773,60,0.0338409475465313,-3
242,redirect,202,0.05489130434782609,248,57,0.22983870967741934,1773,59,0.03327693175408911,-2
243,redirect,199,0.05407608695652174,248,56,0.22580645161290322,1773,58,0.032712915961646924,-2
244,redirect,197,0.05353260869565218,248,54,0.21774193548387097,1773,58,0.032712915961646924,-4
245,redirect,190,0.051630434782608696,248,53,0.21370967741935484,1773,55,0.03102086858432036,-2
246,redirect,186,0.050543478260869565,248,53,0.21370967741935484,1773,53,0.029892836999435984,0
247,redirect,185,0.050271739130434784,248,53,0.21370967741935484,1773,52,0.029328821206993795,1
248,redirect,183,0.049728260869565215,248,51,0.2056451612903226,1773,52,0.029328821206993795,-1
249,redirect,180,0.04891304347826087,248,50,0.20161290322580644,1773,52,0.029328821206993795,-2
250,redirect,175,0.04755434782608696,248,49,0.1975806451612903,1773,49,0.02763677382966723,0
251,redirect,170,0.04619565217391304,248,47,0.18951612903225806,1773,48,0.02707275803722504,-1
252,redirect,168,0.04565217391304348,248,47,0.18951612903225806,1773,48,0.02707275803722504,-1
253,redirect,161,0.04375,248,43,0.17338709677419356,1773,48,0.02707275803722504,-5
254,redirect,152,0.041304347826086954,248,42,0.1693548387096774,1773,44,0.024816694867456288,-2
255,redirect,145,0.03940217391304348,248,40,0.16129032258064516,1773,42,0.023688663282571912,-2
256,redirect,141,0.03831521739130435,248,39,0.15725806451612903,1773,41,0.023124647490129723,-2
257,redirect,137,0.03722826086956522,248,37,0.14919354838709678,1773,40,0.022560631697687534,-3
258,redirect,129,0.035054347826086955,248,35,0.14112903225806453,1773,39,0.021996615905245348,-4
259,redirect,127,0.03451086956521739,248,35,0.14112903225806453,1773,39,0.021996615905245348,-4
260,redirect,125,0.033967391304347824,248,35,0.14112903225806453,1773,38,0.02143260011280316,-3
261,redirect,124,0.03369565217391304,248,35,0.14112903225806453,1773,38,0.02143260011280316,-3
262,redirect,121,0.03288043478260869,248,35,0.14112903225806453,1773,37,0.02086858432036097,-2
263,redirect,118,0.03206521739130435,248,35,0.14112903225806453,1773,36,0.02030456852791878,-1
264,redirect,114,0.03097826086956522,248,35,0.14112903225806453,1773,34,0.019176536943034405,1
265,redirect,110,0.029891304347826088,248,34,0.13709677419354838,1773,32,0.01804850535815003,2
266,redirect,108,0.029347826086956522,248,33,0.13306451612903225,1773,32,0.01804850535815003,1
267,redirect,106,0.028804347826086957,248,33,0.13306451612903225,1773,32,0.01804850535815003,1
268,redirect,102,0.027717391304347826,248,32,0.12903225806451613,1773,32,0.01804850535815003,0
269,redirect,101,0.027445652173913045,248,32,0.12903225806451613,1773,32,0.01804850535815003,0
270,redirect,95,0.025815217391304348,248,32,0.12903225806451613,1773,29,0.016356457980823462,3
271,redirect,90,0.024456521739130436,248,32,0.12903225806451613,1773,27,0.015228426395939087,5
272,redirect,88,0.02391304347826087,248,32,0.12903225806451613,1773,26,0.014664410603496898,6
273,redirect,83,0.022554347826086958,248,31,0.125,1773,23,0.012972363226170333,8
274,redirect,78,0.021195652173913043,248,30,0.12096774193548387,1773,23,0.012972363226170333,7
275,redirect,75,0.020380434782608696,248,27,0.10887096774193548,1773,23,0.012972363226170333,4
276,redirect,68,0.01847826086956522,248,24,0.0967741935483871,1773,20,0.011280315848843767,4
277,redirect,65,0.017663043478260868,248,23,0.09274193548387097,1773,20,0.011280315848843767,3
278,redirect,58,0.01576086956521739,248,20,0.08064516129032258,1773,19,0.01071630005640158,1
280,redirect,56,0.015217391304347827,248,19,0.07661290322580645,1773,19,0.01071630005640158,0
281,redirect,51,0.013858695652173913,248,19,0.07661290322580645,1773,18,0.01015228426395939,1
282,redirect,48,0.013043478260869565,248,19,0.07661290322580645,1773,15,0.008460236886632826,4
283,redirect,46,0.0125,248,19,0.07661290322580645,1773,14,0.007896221094190638,5
284,redirect,44,0.011956521739130435,248,19,0.07661290322580645,1773,12,0.00676818950930626,7
285,redirect,41,0.011141304347826087,248,19,0.07661290322580645,1773,11,0.006204173716864072,8
286,redirect,40,0.010869565217391304,248,18,0.07258064516129033,1773,11,0.006204173716864072,7
287,redirect,36,0.009782608695652175,248,16,0.06451612903225806,1773,11,0.006204173716864072,5
288,redirect,32,0.008695652173913044,248,16,0.06451612903225806,1773,8,0.0045121263395375075,8
289,redirect,31,0.00842391304347826,248,16,0.06451612903225806,1773,8,0.0045121263395375075,8
290,redirect,27,0.007336956521739131,248,15,0.06048387096774194,1773,7,0.003948110547095319,8
291,redirect,26,0.007065217391304348,248,15,0.06048387096774194,1773,7,0.003948110547095319,8
292,redirect,25,0.006793478260869565,248,14,0.056451612903225805,1773,7,0.003948110547095319,7
293,redirect,23,0.00625,248,12,0.04838709677419355,1773,7,0.003948110547095319,5
296,redirect,20,0.005434782608695652,248,10,0.04032258064516129,1773,7,0.003948110547095319,3
298,redirect,19,0.005163043478260869,248,9,0.036290322580645164,1773,7,0.003948110547095319,2
299,redirect,17,0.004619565217391305,248,9,0.036290322580645164,1773,6,0.00338409475465313,3
300,redirect,16,0.004347826086956522,248,9,0.036290322580645164,1773,5,0.0028200789622109417,4
301,redirect,15,0.004076086956521739,248,9,0.036290322580645164,1773,5,0.0028200789622109417,4
305,redirect,13,0.003532608695652174,248,8,0.03225806451612903,1773,4,0.0022560631697687537,4
306,redirect,12,0.003260869565217391,248,8,0.03225806451612903,1773,3,0.001692047377326565,5
307,redirect,11,0.002989130434782609,248,8,0.03225806451612903,1773,2,0.0011280315848843769,6
308,redirect,10,0.002717391304347826,248,7,0.028225806451612902,1773,2,0.0011280315848843769,5
312,redirect,9,0.0024456521739130437,248,7,0.028225806451612902,1773,1,0.0005640157924421884,6
313,redirect,8,0.002173913043478261,248,6,0.024193548387096774,1773,1,0.0005640157924421884,5
319,redirect,7,0.0019021739130434783,248,5,0.020161290322580645,1773,1,0.0005640157924421884,4
322,redirect,6,0.0016304347826086956,248,4,0.016129032258064516,1773,1,0.0005640157924421884,3
328,redirect,5,0.001358695652173913,248,3,0.012096774193548387,1773,1,0.0005640157924421884,2
332,redirect,4,0.0010869565217391304,248,3,0.012096774193548387,1773,0,0.0,3
333,redirect,3,0.0008152173913043478,248,2,0.008064516129032258,1773,0,0.0,2
347,redirect,2,0.0005434782608695652,248,2,0.008064516129032258,1773,0,0.0,2
350,redirect,1,0.0002717391304347826,248,1,0.004032258064516129,1773,0,0.0,1
